date,close,return,signal,realized_vol,target_position,position,turnover,gross_return,cost,net_return,equity,speed
2015-01-05,5006.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,fast
2015-01-06,5038.0,0.006392329204954139,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,fast
2015-01-07,5026.0,-0.002381897578404124,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-08,5062.0,0.007162753680859613,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,fast
2015-01-09,5052.0,-0.0019755037534571196,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-12,5060.0,0.0015835312747427555,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,fast
2015-01-13,4982.0,-0.015415019762845872,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-14,4938.0,-0.00883179446005622,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-15,4956.0,0.0036452004860267895,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,fast
2015-01-16,4942.0,-0.0028248587570621764,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-19,4896.0,-0.009307972480776971,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-20,4888.0,-0.0016339869281045694,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-21,4894.0,0.0012274959083469206,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,fast
2015-01-22,4876.0,-0.003677973028197834,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-23,4870.0,-0.0012305168170632097,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-26,4838.0,-0.006570841889117052,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-27,4826.0,-0.0024803637866886996,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-28,4810.0,-0.0033153750518026825,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-29,4756.0,-0.011226611226611172,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-01-30,4652.0,-0.02186711522287632,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,fast
2015-02-02,4694.0,0.009028374892519286,-0.5,0.12024496333555856,-0.4158178323067784,0.0,0.0,0.0,0.0,0.0,1.0,fast
2015-02-03,4736.0,0.008947592671495475,-0.5,0.12324889321995162,-0.4056831562030284,-0.4158178323067784,0.4158178323067784,-0.0037205685890252644,8.316356646135568e-05,-0.00380373215548662,0.9961962678445134,fast
2015-02-04,4750.0,0.002956081081081141,-0.5,0.12507973961229502,-0.3997449959120728,-0.4056831562030284,0.010134676103749962,-0.0011992323029650577,2.0269352207499925e-06,-0.0012012592381858078,0.9949995778747189,fast
2015-02-05,4802.0,0.010947368421052595,-0.5,0.1297097733901928,-0.38547596447948496,-0.3997449959120728,0.005938160290955619,-0.004376155744721624,1.1876320581911238e-06,-0.004377343376779815,0.9906441230626103,fast
2015-02-06,4896.0,0.019575177009579336,-0.5,0.1517699021896271,-0.3294460843595201,-0.38547596447948496,0.014269031432587842,-0.007545760237624235,2.8538062865175683e-06,-0.007548614043910752,0.9831661329227422,fast
2015-02-09,4916.0,0.004084967320261423,-0.5,0.1527059678901997,-0.3274266270716515,-0.3294460843595201,0.05602988011996485,-0.0013457764883967277,1.1205976023992969e-05,-0.0013569824644207207,0.9818319937207537,fast
2015-02-10,4940.0,0.004882017900732283,-0.5,0.144787301876278,-0.34533415121393335,-0.3274266270716515,0.00201945728786862,-0.001598502654540196,4.0389145757372405e-07,-0.0015989065459977698,0.9802621361189235,fast
2015-02-11,4936.0,-0.0008097165991902688,-0.5,0.1413382059398579,-0.35376138863171896,-0.34533415121393335,0.01790752414228186,0.0002796227945052042,3.581504828456372e-06,0.0002760412896767478,0.9805327289431991,fast
2015-02-12,4886.0,-0.010129659643435929,-0.5,0.14505767883046056,-0.34469047349391707,-0.35376138863171896,0.008427237417785616,0.0035834824618285774,1.6854474835571232e-06,0.0035817970143450202,0.9840447981441954,fast
2015-02-13,4986.0,0.020466639377814122,0.5,0.16293127663722556,0.3068778507844595,-0.34469047349391707,0.009070915137801894,-0.007054655617967998,1.8141830275603787e-06,-0.007056469800995558,0.9771009157432641,fast
2015-02-16,5000.0,0.0028078620136382515,0.5,0.1588904945224605,0.31468213470084,0.3068778507844595,0.6515683242783765,0.0008616706600446313,0.0001303136648556753,0.000731356995188956,0.9778155253329985,fast
2015-02-17,4996.0,-0.0008000000000000229,0.5,0.1587277248480255,0.3150048301131558,0.31468213470084,0.0078042839163804945,-0.0002517457077606792,1.5608567832760989e-06,-0.00025330656454395533,0.9775678382415187,fast
2015-02-25,4942.0,-0.010808646917534026,0.5,0.1642928707076313,0.30433456902081835,0.3150048301131558,0.0003226954123157766,-0.0034047759860108906,6.453908246315531e-08,-0.003404840525093354,0.9742393756498461,fast
2015-02-26,4962.0,0.004046944556859611,0.5,0.16395101901202466,0.30496913225243727,0.30433456902081835,0.01067026109233743,0.0012316251275630162,2.134052218467486e-06,0.0012294910753445488,0.9754371942674568,fast
2015-02-27,5100.0,0.027811366384522307,0.5,0.18933159160363486,0.26408693645102216,0.30496913225243727,0.0006345632316189231,0.008481608273042372,1.2691264632378462e-07,0.008481481360396047,0.9837103466488731,fast
2015-03-02,5164.0,0.012549019607843048,0.5,0.18951070351209487,0.2638373404424037,0.26408693645102216,0.04088219580141511,0.003314032143699078,8.176439160283022e-06,0.003305855704538795,0.9869623511099562,fast
2015-03-03,5106.0,-0.011231603408210722,0.5,0.195521967657943,0.255725740687475,0.2638373404424037,0.0002495960086184579,-0.002963316372126154,4.9919201723691576e-08,-0.0029633662913278775,0.9840376201478673,fast
